Date,Symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-03,AAPL,129.55583314031801,130.1723819943461,123.47979516841913,124.37479400634766,112117500,0.0,0.0
2023-01-04,AAPL,126.18469137284232,127.94485721667097,124.38475454239592,125.65763854980469,89113600,0.0,0.0
2023-01-05,AAPL,126.42335317653169,127.05979516991114,124.0665315278252,124.32508087158203,80962700,0.0,0.0
2023-01-06,AAPL,125.30957869000086,129.56577961610967,124.19580145068213,128.89950561523438,87754700,0.0,0.0
2023-01-09,AAPL,129.74477272599756,132.6684329161195,129.1679948839896,129.42654418945312,70790800,0.0,0.0
2023-01-10,AAPL,129.53595292486554,130.53039449086813,127.40784858057899,130.0033416748047,63896200,0.0,0.0
2023-01-11,AAPL,130.52046168208338,132.76789426441633,129.73485948450775,132.74801635742188,69458900,0.0,0.0
2023-01-12,AAPL,133.13583048297897,133.51370792788612,130.7093908387508,132.66844177246094,71379600,0.0,0.0
2023-01-13,AAPL,131.29611931353617,134.1700548447605,130.9281807881948,134.0109405517578,57809700,0.0,0.0
2023-01-17,AAPL,134.08055647571666,136.52687419983621,133.38445042307993,135.18438720703125,63646600,0.0,0.0
2023-01-18,AAPL,136.05948639918992,137.8395299171829,134.2794277072246,134.45843505859375,69672800,0.0,0.0
2023-01-19,AAPL,133.33472431498433,135.4926606490315,133.02644986354528,134.5181121826172,58280400,0.0,0.0
2023-01-20,AAPL,134.52805295672198,137.2528282924126,133.47394733147624,137.10365295410156,80223600,0.0,0.0
2023-01-23,AAPL,137.35225233023863,142.5233601642238,137.1334739907713,140.3256378173828,81760300,0.0,0.0
2023-01-24,AAPL,139.530085826483,142.36425019929237,139.52014687401436,141.7377471923828,66435100,0.0,0.0
2023-01-25,AAPL,140.10686269651404,141.63829593399345,138.0384225501974,141.07147216796875,65799300,0.0,0.0
2023-01-26,AAPL,142.37418801388293,143.44818665687006,141.11124305768882,143.15980529785156,54105100,0.0,0.0
2023-01-27,AAPL,142.36425849041646,146.41162778096455,142.2847013441142,145.1188507080078,70555800,0.0,0.0
2023-01-30,AAPL,144.1542667085093,144.74098363393833,142.0559942426414,142.2051544189453,64015300,0.0,0.0
2023-01-31,AAPL,141.90680243408923,143.5376859264223,141.48913881490347,143.4879608154297,65874500,0.0,0.0
